# deltax   errors_cdiff   errors_fdiff   errors_2cdiff   errors_2fdiff
1.000000011686097423e-07 5.762786865234375000e-01 5.762786865234375000e-01 6.000000000000000000e+00 6.000000000000000000e+00
1.001011021435260773e-02 1.020431518554687500e-04 3.013348579406738281e-02 1.816749572753906250e-04 5.989742279052734375e-02
2.002011984586715698e-02 4.014968872070312500e-04 6.046295166015625000e-02 9.346008300781250000e-05 1.202149391174316406e-01
3.003012947738170624e-02 9.021759033203125000e-04 9.099268913269042969e-02 2.384185791015625000e-06 1.801099777221679688e-01
4.004013910889625549e-02 1.603603363037109375e-03 1.217243671417236328e-01 1.192092895507812500e-05 2.402710914611816406e-01
5.005015060305595398e-02 2.505064010620117188e-03 1.526558399200439453e-01 1.573562622070312500e-05 3.002657890319824219e-01
6.006015837192535400e-02 3.606081008911132812e-03 1.837866306304931641e-01 1.430511474609375000e-06 3.603639602661132812e-01
7.007016986608505249e-02 4.909038543701171875e-03 2.151196002960205078e-01 5.722045898437500000e-06 4.203734397888183594e-01
8.008018136024475098e-02 6.411552429199218750e-03 2.466518878936767578e-01 1.430511474609375000e-06 4.804849624633789062e-01
9.009019285440444946e-02 8.115291595458984375e-03 2.783846855163574219e-01 2.717971801757812500e-05 5.406832695007324219e-01
1.001001968979835510e-01 1.001930236816406250e-02 3.103187084197998047e-01 2.479553222656250000e-05 6.007142066955566406e-01
1.101102083921432495e-01 1.212406158447265625e-02 3.424539566040039062e-01 1.382827758789062500e-05 6.607193946838378906e-01
1.201202198863029480e-01 1.442790031433105469e-02 3.747878074645996094e-01 1.382827758789062500e-05 7.207865715026855469e-01
1.301302313804626465e-01 1.693487167358398438e-02 4.073266983032226562e-01 1.811981201171875000e-05 7.807083129882812500e-01
1.401402354240417480e-01 1.964020729064941406e-02 4.400618076324462891e-01 1.144409179687500000e-05 8.407874107360839844e-01
1.501502543687820435e-01 2.254557609558105469e-02 4.729969501495361328e-01 8.106231689453125000e-06 9.008631706237792969e-01
1.601602584123611450e-01 2.565193176269531250e-02 5.061333179473876953e-01 9.059906005859375000e-06 9.609198570251464844e-01
1.701702624559402466e-01 2.895832061767578125e-02 5.394694805145263672e-01 5.245208740234375000e-06 1.020991325378417969e+00
1.801802814006805420e-01 3.246569633483886719e-02 5.730066299438476562e-01 3.337860107421875000e-06 1.081072807312011719e+00
1.901902854442596436e-01 3.617310523986816406e-02 6.067440509796142578e-01 2.384185791015625000e-06 1.141134262084960938e+00
2.002003043889999390e-01 4.008054733276367188e-02 6.406812667846679688e-01 4.768371582031250000e-07 1.201206207275390625e+00
2.102103084325790405e-01 4.418873786926269531e-02 6.748199462890625000e-01 2.384185791015625000e-06 1.261254787445068359e+00
2.202203124761581421e-01 4.849720001220703125e-02 7.091579437255859375e-01 0.000000000000000000e+00 1.321326255798339844e+00
2.302303314208984375e-01 5.300593376159667969e-02 7.436969280242919922e-01 4.768371582031250000e-07 1.381380558013916016e+00
2.402403354644775391e-01 5.771541595458984375e-02 7.784364223480224609e-01 0.000000000000000000e+00 1.441443443298339844e+00
2.502503395080566406e-01 6.262516975402832031e-02 8.133764266967773438e-01 9.536743164062500000e-07 1.501500606536865234e+00
2.602603435516357422e-01 6.773543357849121094e-02 8.485164642333984375e-01 0.000000000000000000e+00 1.561558723449707031e+00
2.702703773975372314e-01 7.304573059082031250e-02 8.838567733764648438e-01 9.536743164062500000e-07 1.621620178222656250e+00
2.802803814411163330e-01 7.855677604675292969e-02 9.193978309631347656e-01 9.536743164062500000e-07 1.681685924530029297e+00
2.902903854846954346e-01 8.426809310913085938e-02 9.551386833190917969e-01 2.861022949218750000e-06 1.741749763488769531e+00
3.003003895282745361e-01 9.018015861511230469e-02 9.910812377929687500e-01 4.768371582031250000e-07 1.801795959472656250e+00
3.103103935718536377e-01 9.629249572753906250e-02 1.027223587036132812e+00 4.768371582031250000e-07 1.861856460571289062e+00
3.203204274177551270e-01 1.026048660278320312e-01 1.063565731048583984e+00 1.907348632812500000e-06 1.921928882598876953e+00
3.303304314613342285e-01 1.091177463531494141e-01 1.100108623504638672e+00 2.861022949218750000e-06 1.981994628906250000e+00
3.403404355049133301e-01 1.158308982849121094e-01 1.136851787567138672e+00 2.861022949218750000e-06 2.042052984237670898e+00
3.503504395484924316e-01 1.227450370788574219e-01 1.173795700073242188e+00 2.384185791015625000e-06 2.102113246917724609e+00
3.603604435920715332e-01 1.298592090606689453e-01 1.210940361022949219e+00 2.384185791015625000e-06 2.162170410156250000e+00
3.703704774379730225e-01 1.371746063232421875e-01 1.248286247253417969e+00 1.430511474609375000e-06 2.222220897674560547e+00
3.803804814815521240e-01 1.446895599365234375e-01 1.285831451416015625e+00 1.907348632812500000e-06 2.282277822494506836e+00
3.903904855251312256e-01 1.524050235748291016e-01 1.323576450347900391e+00 9.536743164062500000e-07 2.342343807220458984e+00
4.004004895687103271e-01 1.603207588195800781e-01 1.361522674560546875e+00 9.536743164062500000e-07 2.402400493621826172e+00
4.104104936122894287e-01 1.684372425079345703e-01 1.399668693542480469e+00 9.536743164062500000e-07 2.462462425231933594e+00
4.204205274581909180e-01 1.767535209655761719e-01 1.438014984130859375e+00 0.000000000000000000e+00 2.522524833679199219e+00
4.304305315017700195e-01 1.852703094482421875e-01 1.476562023162841797e+00 4.768371582031250000e-07 2.582586050033569336e+00
4.404405355453491211e-01 1.939878463745117188e-01 1.515309810638427734e+00 9.536743164062500000e-07 2.642640352249145508e+00
4.504505395889282227e-01 2.029056549072265625e-01 1.554257392883300781e+00 4.768371582031250000e-07 2.702704191207885742e+00
4.604605436325073242e-01 2.120239734649658203e-01 1.593405723571777344e+00 0.000000000000000000e+00 2.762763500213623047e+00
4.704705774784088135e-01 2.213423252105712891e-01 1.632753849029541016e+00 4.768371582031250000e-07 2.822822809219360352e+00
4.804805815219879150e-01 2.308614253997802734e-01 1.672302722930908203e+00 9.536743164062500000e-07 2.882884502410888672e+00
4.904905855655670166e-01 2.405807971954345703e-01 1.712052345275878906e+00 9.536743164062500000e-07 2.942943811416625977e+00
5.005006194114685059e-01 2.505013942718505859e-01 1.752003669738769531e+00 2.384185791015625000e-06 3.003000736236572266e+00
5.105106234550476074e-01 2.606215476989746094e-01 1.792153835296630859e+00 1.430511474609375000e-06 3.063062429428100586e+00
5.205206274986267090e-01 2.709422111511230469e-01 1.832504749298095703e+00 1.907348632812500000e-06 3.123122930526733398e+00
5.305306315422058105e-01 2.814631462097167969e-01 1.873055458068847656e+00 1.430511474609375000e-06 3.183181524276733398e+00
5.405406355857849121e-01 2.921845912933349609e-01 1.913806915283203125e+00 1.430511474609375000e-06 3.243243932723999023e+00
5.505506396293640137e-01 3.031063079833984375e-01 1.954758644104003906e+00 1.430511474609375000e-06 3.303303241729736328e+00
5.605606436729431152e-01 3.142285346984863281e-01 1.995911121368408203e+00 1.430511474609375000e-06 3.363361597061157227e+00
5.705706477165222168e-01 3.255512714385986328e-01 2.037263393402099609e+00 1.430511474609375000e-06 3.423424243927001953e+00
5.805806517601013184e-01 3.370742797851562500e-01 2.078816890716552734e+00 1.907348632812500000e-06 3.483481884002685547e+00
5.905906558036804199e-01 3.487977981567382812e-01 2.120570182800292969e+00 1.430511474609375000e-06 3.543542385101318359e+00
6.006007194519042969e-01 3.607211112976074219e-01 2.162522792816162109e+00 4.768371582031250000e-07 3.603608131408691406e+00
6.106107234954833984e-01 3.728456497192382812e-01 2.204677581787109375e+00 0.000000000000000000e+00 3.663663864135742188e+00
6.206207275390625000e-01 3.851699829101562500e-01 2.247032165527343750e+00 4.768371582031250000e-07 3.723725795745849609e+00
6.306307315826416016e-01 3.976950645446777344e-01 2.289587497711181641e+00 4.768371582031250000e-07 3.783784866333007812e+00
6.406407356262207031e-01 4.104204177856445312e-01 2.332342624664306641e+00 9.536743164062500000e-07 3.843846321105957031e+00
6.506507396697998047e-01 4.233465194702148438e-01 2.375298976898193359e+00 9.536743164062500000e-07 3.903901576995849609e+00
6.606607437133789062e-01 4.364726543426513672e-01 2.418455123901367188e+00 4.768371582031250000e-07 3.963962554931640625e+00
6.706707477569580078e-01 4.497992992401123047e-01 2.461811542510986328e+00 4.768371582031250000e-07 4.024023532867431641e+00
6.806807518005371094e-01 4.633262157440185547e-01 2.505368709564208984e+00 4.768371582031250000e-07 4.084084033966064453e+00
6.906907558441162109e-01 4.770534038543701172e-01 2.549125671386718750e+00 4.768371582031250000e-07 4.144145965576171875e+00
7.007008194923400879e-01 4.909811019897460938e-01 2.593082904815673828e+00 1.907348632812500000e-06 4.204206466674804688e+00
7.107108235359191895e-01 5.051097869873046875e-01 2.637241840362548828e+00 0.000000000000000000e+00 4.264263153076171875e+00
7.207208275794982910e-01 5.194382667541503906e-01 2.681600093841552734e+00 9.536743164062500000e-07 4.324325084686279297e+00
7.307308316230773926e-01 5.339672565460205078e-01 2.726159572601318359e+00 4.768371582031250000e-07 4.384383201599121094e+00
7.407408356666564941e-01 5.486965179443359375e-01 2.770918369293212891e+00 1.430511474609375000e-06 4.444446563720703125e+00
7.507508397102355957e-01 5.636262893676757812e-01 2.815878868103027344e+00 9.536743164062500000e-07 4.504505157470703125e+00
7.607608437538146973e-01 5.787568092346191406e-01 2.861039161682128906e+00 9.536743164062500000e-07 4.564563751220703125e+00
7.707708477973937988e-01 5.940876007080078125e-01 2.906399726867675781e+00 9.536743164062500000e-07 4.624625205993652344e+00
7.807808518409729004e-01 6.096181869506835938e-01 2.951960563659667969e+00 9.536743164062500000e-07 4.684687137603759766e+00
7.907908558845520020e-01 6.253497600555419922e-01 2.997722148895263672e+00 9.536743164062500000e-07 4.744744300842285156e+00
8.008009195327758789e-01 6.412823200225830078e-01 3.043684959411621094e+00 0.000000000000000000e+00 4.804805278778076172e+00
8.108109235763549805e-01 6.574144363403320312e-01 3.089847087860107422e+00 0.000000000000000000e+00 4.864866733551025391e+00
8.208209276199340820e-01 6.737470626831054688e-01 3.136209487915039062e+00 0.000000000000000000e+00 4.924927234649658203e+00
8.308309316635131836e-01 6.902799606323242188e-01 3.182772636413574219e+00 0.000000000000000000e+00 4.984985351562500000e+00
8.408409357070922852e-01 7.070133686065673828e-01 3.229536056518554688e+00 4.768371582031250000e-07 5.045047283172607422e+00
8.508509397506713867e-01 7.239472866058349609e-01 3.276499748229980469e+00 4.768371582031250000e-07 5.105106353759765625e+00
8.608609437942504883e-01 7.410814762115478516e-01 3.323664188385009766e+00 0.000000000000000000e+00 5.165165901184082031e+00
8.708709478378295898e-01 7.584164142608642578e-01 3.371028900146484375e+00 4.768371582031250000e-07 5.225224971771240234e+00
8.808809518814086914e-01 7.759511470794677734e-01 3.418594360351562500e+00 4.768371582031250000e-07 5.285285949707031250e+00
8.908909559249877930e-01 7.936868667602539062e-01 3.466359615325927734e+00 0.000000000000000000e+00 5.345345497131347656e+00
9.009010195732116699e-01 8.116230964660644531e-01 3.514326572418212891e+00 9.536743164062500000e-07 5.405405044555664062e+00
9.109110236167907715e-01 8.297593593597412109e-01 3.562492847442626953e+00 9.536743164062500000e-07 5.465466499328613281e+00
9.209210276603698730e-01 8.480958938598632812e-01 3.610859394073486328e+00 9.536743164062500000e-07 5.525525093078613281e+00
9.309310317039489746e-01 8.666329383850097656e-01 3.659426212310791016e+00 9.536743164062500000e-07 5.585585594177246094e+00
9.409410357475280762e-01 8.853704929351806641e-01 3.708194255828857422e+00 9.536743164062500000e-07 5.645646572113037109e+00
9.509510397911071777e-01 9.043083190917968750e-01 3.757161617279052734e+00 0.000000000000000000e+00 5.705706596374511719e+00
9.609610438346862793e-01 9.234464168548583984e-01 3.806329727172851562e+00 9.536743164062500000e-07 5.765766620635986328e+00
9.709710478782653809e-01 9.427852630615234375e-01 3.855698585510253906e+00 4.768371582031250000e-07 5.825825691223144531e+00
9.809810519218444824e-01 9.623243808746337891e-01 3.905267715454101562e+00 4.768371582031250000e-07 5.885886669158935547e+00
9.909910559654235840e-01 9.820635318756103516e-01 3.955037117004394531e+00 9.536743164062500000e-07 5.945945739746093750e+00
1.001001119613647461e+00 1.002003192901611328e+00 4.005006313323974609e+00 0.000000000000000000e+00 6.006007671356201172e+00
1.011011123657226562e+00 1.022143363952636719e+00 4.055176734924316406e+00 0.000000000000000000e+00 6.066067695617675781e+00
1.021021127700805664e+00 1.042484283447265625e+00 4.105547428131103516e+00 0.000000000000000000e+00 6.126126289367675781e+00
1.031031131744384766e+00 1.063025474548339844e+00 4.156118869781494141e+00 0.000000000000000000e+00 6.186185836791992188e+00
1.041041135787963867e+00 1.083766460418701172e+00 4.206890583038330078e+00 0.000000000000000000e+00 6.246246337890625000e+00
1.051051139831542969e+00 1.104708671569824219e+00 4.257861614227294922e+00 4.768371582031250000e-07 6.306308746337890625e+00
1.061061143875122070e+00 1.125850677490234375e+00 4.309033870697021484e+00 0.000000000000000000e+00 6.366367340087890625e+00
1.071071147918701172e+00 1.147192955017089844e+00 4.360406398773193359e+00 4.768371582031250000e-07 6.426428318023681641e+00
1.081081151962280273e+00 1.168736457824707031e+00 4.411980152130126953e+00 0.000000000000000000e+00 6.486486911773681641e+00
1.091091156005859375e+00 1.190480232238769531e+00 4.463753700256347656e+00 4.768371582031250000e-07 6.546545028686523438e+00
1.101101160049438477e+00 1.212423801422119141e+00 4.515727043151855469e+00 4.768371582031250000e-07 6.606607437133789062e+00
1.111111164093017578e+00 1.234568119049072266e+00 4.567901611328125000e+00 0.000000000000000000e+00 6.666666030883789062e+00
1.121121168136596680e+00 1.256912708282470703e+00 4.620275974273681641e+00 0.000000000000000000e+00 6.726726531982421875e+00
1.131131172180175781e+00 1.279457569122314453e+00 4.672851085662841797e+00 0.000000000000000000e+00 6.786787509918212891e+00
1.141141176223754883e+00 1.302203178405761719e+00 4.725626468658447266e+00 0.000000000000000000e+00 6.846848011016845703e+00
1.151151180267333984e+00 1.325149059295654297e+00 4.778602600097656250e+00 0.000000000000000000e+00 6.906908035278320312e+00
1.161161303520202637e+00 1.348296165466308594e+00 4.831780910491943359e+00 1.430511474609375000e-06 6.966962814331054688e+00
1.171171307563781738e+00 1.371641635894775391e+00 4.885154724121093750e+00 1.430511474609375000e-06 7.027031421661376953e+00
1.181181311607360840e+00 1.395189762115478516e+00 4.938734531402587891e+00 1.430511474609375000e-06 7.087082862854003906e+00
1.191191315650939941e+00 1.418936252593994141e+00 4.992509365081787109e+00 4.768371582031250000e-07 7.147151947021484375e+00
1.201201319694519043e+00 1.442885875701904297e+00 5.046490669250488281e+00 1.430511474609375000e-06 7.207201957702636719e+00
1.211211323738098145e+00 1.467032432556152344e+00 5.100665092468261719e+00 1.430511474609375000e-06 7.267272472381591797e+00
1.221221327781677246e+00 1.491382122039794922e+00 5.155046463012695312e+00 9.536743164062500000e-07 7.327323913574218750e+00
